,SKU,Description,,,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20
"Inventory, beginning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inventory, beginning - 900-00005-01",900-00005-01,'New VX with ZigBee Option Product Wired White,,,,4958,6434,5977,6181,5872,11148,9045,8019,6607,6056,5704,8328,8136,7172,4217,6108,7778.184,17455.33406,13660.48412,13465.63417,10399.08876,6182.288765,1965.488765,-1484.511235,-5701.311235,-10128.95124
"Inventory, beginning - 900-00005-00",900-00005-00,New VX with ZigBee Option Product Wireless White,,,,2430,2651,4377,3638,8163,12192,6014,3942,6940,2179,1388,8001,5374,3701,5708,6045,6971.276,22156.00109,16372.72617,18589.45126,13898.63315,7482.433147,1066.233147,-4199.766853,-10615.96685,-17348.42685
"Inventory, beginning - 900-00006-00",900-00006-00,'New VX 6 Relay Control Card,,,,6531,2947,2756,6002,6615,8909,3812,3000,3819,3484,1537,6945,2729,7082,3121,10054,5804.16,21718.36462,16452.56925,16186.77387,16186.77387,16186.77387,16186.77387,16186.77387,16186.77387,16186.77387
"Inventory, beginning - WX-EMRT1",WX-EMRT1,Friedrich Thermostat Wired White new VX,,,,220,1000,400,400,400,400,400,400,400,399,399,399,399,0,-600,900,568,236,-96,-428,-760,-1092,-1424,-1756,-2088,-2420
"Inventory, beginning - WX-EMWRT1",WX-EMWRT1,Friedrich Thermostat Wireless White new VX,,,,241,421,421,241,241,2,0,0,0,-3,-13,-13,0,0,0,900,897,894,891,888,885,882,879,876,873,870
"Inventory, beginning - WX-RS485",WX-RS485,Friedrich Thermostat Wired White new VX,,,,56,516,516,516,4,90,99,99,13,479,511,511,287,170,458,0,222,1444,1166,1388,1110,832,554,276,-2,-280
"Inventory, beginning - WX-RS485-W with V8-AC-CC-RSW",WX-RS485-W with V8-AC-CC-RSW,Friedrich Thermostat Wireless White new VX with V8-AC-CC-RSW,,,,990,990,990,990,808,506,503,500,497,643,855,676,659,449,737,200,66,932,298,2164,1530,896,262,-372,-1006,-1640
"Inventory, beginning - 900-00002-00",900-00002-00,Control Card for WX-EMWRT1,,,,687,926,876,546,530,343,273,209,180,180,180,180,180,180,180,0,-3,-6,-9,-12,-15,-18,-21,-24,-27,-30
"Inventory, beginning - AC-CC-6R-REC",AC-CC-6R-REC,6 relays CC with receiver flashed to X9-RF-AOS,,,,349,2806,2579,1898,1374,1179,225,2195,2144,3953,4611,4562,3027,3302,3075,4268,3938.48,7380.525472,6230.570944,6080.616416,5160.652794,3895.612794,2630.572794,1595.572794,330.5327936,-997.7592064
